truth_table_hex,distance,canonical_expression,neighbour_count,failing_neighbour_count,rigidity
0008,4,"A(A(N(O(x2,x3)),x0),x1)",18,16,0.88888888888888884
0009,4,"N(O(O(X(x0,x1),x2),x3))",21,18,0.8571428571428571
000e,4,"A(N(O(x2,x3)),O(x0,x1))",23,17,0.73913043478260865
0010,4,"A(N(O(O(x0,x1),x3)),x2)",18,11,0.61111111111111116
0012,4,"A(N(O(x1,x3)),X(x0,x2))",22,13,0.59090909090909094
0013,4,"N(O(A(x0,x2),O(x1,x3)))",23,14,0.60869565217391308
0014,4,"A(N(O(x0,x3)),X(x1,x2))",22,17,0.77272727272727271
0015,4,"N(O(A(x1,x2),O(x0,x3)))",23,18,0.78260869565217395
001e,4,"A(N(x3),X(O(x0,x1),x2))",25,20,0.80000000000000004
001f,4,"N(O(A(O(x0,x1),x2),x3))",25,22,0.88
